age,qx
20,0.0084
21,0.00853
22,0.00872
23,0.00891
24,0.0091
25,0.0093
26,0.00951
27,0.00973
28,0.00996
29,0.01021
30,0.01048
31,0.01077
32,0.01108
33,0.01141
34,0.01177
35,0.01216
36,0.01258
37,0.01303
38,0.01351
39,0.01401
40,0.01454
41,0.01511
42,0.0157
43,0.01633
44,0.01699
45,0.0177
46,0.01845
47,0.01924
48,0.02009
49,0.02097
50,0.02191
51,0.0229
52,0.02395
53,0.02506
54,0.02624
55,0.02749
56,0.02881
57,0.0302
58,0.03167
59,0.03323
60,0.03488
61,0.03663
62,0.03847
63,0.04042
64,0.04248
65,0.04465
66,0.04695
67,0.04938
68,0.05195
69,0.05466
70,0.05754
71,0.06056
72,0.06375
73,0.06713
74,0.07069
75,0.07444
76,0.07841
77,0.08259
78,0.087
79,0.09165
80,0.09654
81,0.10171
82,0.10715
83,0.11287
84,0.1189
85,0.12524
86,0.13191
87,0.13893
88,0.1463
89,0.15404
90,0.16219
91,0.17094
92,0.18059
93,0.19154
94,0.20429
95,0.21944
96,0.23769
97,0.25984
98,0.28679
99,0.31954
100,0.35919
101,0.40694
102,0.46409
103,0.53204
104,0.61229
105,0.7064
106,0.81619
107,0.94334
108,1.0
