age,qx
15,0.00022
16,0.00024
17,0.00025
18,0.00026
19,0.00028
20,0.0003
21,0.00031
22,0.00034
23,0.00036
24,0.0004
25,0.00043
26,0.00047
27,0.00051
28,0.00055
29,0.00059
30,0.00064
31,0.00068
32,0.00075
33,0.00081
34,0.0009
35,0.00098
36,0.00108
37,0.00119
38,0.00131
39,0.00143
40,0.00158
41,0.00174
42,0.00193
43,0.00213
44,0.00234
45,0.00259
46,0.00287
47,0.00322
48,0.0036
49,0.00401
50,0.00448
51,0.00502
52,0.00568
53,0.00648
54,0.00744
55,0.00845
56,0.00941
57,0.01026
58,0.01084
59,0.01143
60,0.01204
61,0.01263
62,0.0132
63,0.0139
64,0.01463
65,0.0154
66,0.01622
67,0.0171
68,0.01804
69,0.01902
70,1.0
