age,qx
14,0.00087
15,0.001
16,0.00113
17,0.00125
18,0.00134
19,0.00141
20,0.00146
21,0.00149
22,0.00152
23,0.00154
24,0.00157
25,0.00159
26,0.00162
27,0.00166
28,0.0017
29,0.00176
30,0.00182
31,0.00189
32,0.00196
33,0.00204
34,0.00214
35,0.00225
36,0.00239
37,0.00256
38,0.00277
39,0.00302
40,0.0033
41,0.0036
42,0.00393
43,0.00428
44,0.00465
45,0.00506
46,0.00551
47,0.006
48,0.00655
49,0.00716
50,0.00784
51,0.0086
52,0.00944
53,0.01037
54,0.01141
55,0.01255
56,0.01381
57,0.0152
58,0.01673
59,0.01839
60,0.0202
61,0.02217
62,0.02428
63,0.02656
64,0.02904
65,0.03175
66,0.03474
67,0.03804
68,0.04168
69,0.04561
70,0.04979
71,0.05415
72,0.05865
73,0.06326
74,0.06812
75,0.07337
76,0.07918
77,0.0857
78,0.09306
79,0.10119
80,0.10998
81,0.11935
82,0.12917
83,0.13938
84,0.15001
85,0.16114
86,0.17282
87,0.18513
88,0.19825
89,0.21246
90,0.22814
91,0.24577
92,0.26593
93,0.2893
94,0.31666
95,0.35124
96,0.40056
97,0.48842
98,0.66815
99,1.0
