age,qx
20,0.0002
21,0.00023
22,0.00026
23,0.0003
24,0.00034
25,0.00038
26,0.00043
27,0.00049
28,0.00054
29,0.00066
30,0.00079
31,0.00085
32,0.00107
33,0.00131
34,0.0015
35,0.00181
36,0.00218
37,0.00235
38,0.00262
39,0.00293
40,0.00314
41,0.0032
42,0.00352
43,0.00371
44,0.00417
45,0.00463
46,0.00574
47,0.00656
48,0.00779
49,0.0087
50,0.01012
51,0.01101
52,0.01213
53,0.01331
54,0.01454
55,0.01544
56,0.01678
57,0.01923
58,0.02198
59,0.02698
60,0.03353
61,0.04217
62,0.05434
63,0.05932
64,0.06834
65,0.0763
66,0.08293
67,0.09509
68,0.11103
69,0.12901
70,0.15509
71,0.18929
72,0.22127
73,0.25258
74,0.28856
75,0.33091
76,0.38147
77,0.44288
78,0.51909
79,0.6132
80,0.74399
81,0.92
82,1.0
